PID,i_artemether_F1_indiv,i_artemether_KTR,total_mg_dose_per_occassion,TVCL,CL,TVV2,V2, i_artemether_k20 (CL/V2)
0,-0.761068,8.14664,80,67.5046,67.5046,106.392,106.363,0.4
1,-0.407319,8.14664,80,67.5046,67.5046,106.392,96.5473,0.4
2,-0.0951979,8.14664,80,67.5046,67.5046,106.392,89.2892,0.4
3,-0.298746,8.14664,80,67.5046,67.5046,106.392,107.274,0.4
4,0.131826,8.14664,80,67.5046,67.5046,106.392,126.582,0.4
5,0.369918,8.14664,80,67.5046,67.5046,106.392,92.3312,0.4
6,-1.12341,8.14664,80,67.5046,67.5046,106.392,85.284,0.4
7,-0.378335,8.14664,80,67.5046,67.5046,106.392,83.6578,0.4
8,1.87836,8.14664,80,67.5046,67.5046,106.392,94.7343,0.4
9,-0.284329,8.14664,80,67.5046,67.5046,106.392,94.1345,0.4
10,0.252251,8.14664,80,67.5046,67.5046,106.392,117.528,0.4
11,0.216557,8.14664,80,67.5046,67.5046,106.392,95.1775,0.4
12,-0.776997,8.14664,80,67.5046,67.5046,106.392,108.139,0.4
13,-0.204132,8.14664,80,67.5046,67.5046,106.392,103.602,0.4
14,0.93867,8.14664,80,67.5046,67.5046,106.392,105.743,0.4
15,0.098541,8.14664,80,67.5046,67.5046,106.392,89.9259,0.4
16,1.17844,8.14664,80,67.5046,67.5046,106.392,113.803,0.4
17,-0.540361,8.14664,80,67.5046,67.5046,106.392,100.367,0.4
18,0.0935241,8.14664,80,67.5046,67.5046,106.392,105.752,0.4
19,0.470657,8.14664,80,67.5046,67.5046,106.392,90.7179,0.4
20,0.324849,8.14664,80,67.5046,67.5046,106.392,106.054,0.4
21,1.49717,8.14664,80,67.5046,67.5046,106.392,104.144,0.4
22,-0.597731,8.14664,80,67.5046,67.5046,106.392,88.0946,0.4
23,0.738299,8.14664,80,67.5046,67.5046,106.392,78.5116,0.4
24,0.679203,8.14664,80,67.5046,67.5046,106.392,95.5226,0.4
25,-1.51612,8.14664,80,67.5046,67.5046,106.392,93.7303,0.4
26,-1.58971,8.14664,80,67.5046,67.5046,106.392,119.172,0.4
27,2.05983,8.14664,80,67.5046,67.5046,106.392,95.6385,0.4
28,0.158383,8.14664,80,67.5046,67.5046,106.392,111.196,0.4
29,-0.339069,8.14664,80,67.5046,67.5046,106.392,96.4156,0.4
30,-0.0291909,8.14664,80,67.5046,67.5046,106.392,101.62,0.4
31,0.519435,8.14664,80,67.5046,67.5046,106.392,122.658,0.4
32,0.0397303,8.14664,80,67.5046,67.5046,106.392,108.114,0.4
33,1.46262,8.14664,80,67.5046,67.5046,106.392,120.529,0.4
34,-0.284175,8.14664,80,67.5046,67.5046,106.392,101.713,0.4
35,0.0698215,8.14664,80,67.5046,67.5046,106.392,103.226,0.4
36,-0.0231717,8.14664,80,67.5046,67.5046,106.392,117.099,0.4
37,-1.0115,8.14664,80,67.5046,67.5046,106.392,108.592,0.4
38,-0.197956,8.14664,80,67.5046,67.5046,106.392,99.8539,0.4
39,-0.068576,8.14664,80,67.5046,67.5046,106.392,94.327,0.4
40,0.145543,8.14664,80,67.5046,67.5046,106.392,140.645,0.4
41,0.366701,8.14664,80,67.5046,67.5046,106.392,112.538,0.4
42,0.135688,8.14664,80,67.5046,67.5046,106.392,85.4455,0.4
43,0.798572,8.14664,80,67.5046,67.5046,106.392,139.195,0.4
44,0.430242,8.14664,80,67.5046,67.5046,106.392,119.575,0.4
45,-0.180184,8.14664,80,67.5046,67.5046,106.392,116.178,0.4
46,-0.388103,8.14664,80,67.5046,67.5046,106.392,99.4777,0.4
47,0.341434,8.14664,80,67.5046,67.5046,106.392,120.306,0.4
48,0.741183,8.14664,80,67.5046,67.5046,106.392,102.21,0.4
49,-1.14121,8.14664,80,67.5046,67.5046,106.392,100.007,0.4
50,-0.19707,8.14664,80,67.5046,67.5046,106.392,79.2494,0.4
51,0.692629,8.14664,80,67.5046,67.5046,106.392,87.5662,0.4
52,-0.248038,8.14664,80,67.5046,67.5046,106.392,108.104,0.4
53,0.518528,8.14664,80,67.5046,67.5046,106.392,105.422,0.4
54,-1.39923,8.14664,80,67.5046,67.5046,106.392,125.934,0.4
55,0.472402,8.14664,80,67.5046,67.5046,106.392,104.414,0.4
56,0.196565,8.14664,80,67.5046,67.5046,106.392,103.284,0.4
57,-0.877452,8.14664,80,67.5046,67.5046,106.392,99.4413,0.4
58,0.337899,8.14664,80,67.5046,67.5046,106.392,95.0126,0.4
59,-0.844044,8.14664,80,67.5046,67.5046,106.392,130.983,0.4
60,-0.983922,8.14664,80,67.5046,67.5046,106.392,87.306,0.4
61,-1.45868,8.14664,80,67.5046,67.5046,106.392,103.068,0.4
62,0.921502,8.14664,80,67.5046,67.5046,106.392,125.197,0.4
63,-0.334325,8.14664,80,67.5046,67.5046,106.392,112.435,0.4
64,-0.449964,8.14664,80,67.5046,67.5046,106.392,111.688,0.4
65,0.555229,8.14664,80,67.5046,67.5046,106.392,91.7833,0.4
66,-0.0826669,8.14664,80,67.5046,67.5046,106.392,126.15,0.4
67,-0.225364,8.14664,80,67.5046,67.5046,106.392,85.6291,0.4
68,0.448115,8.14664,80,67.5046,67.5046,106.392,115.324,0.4
69,0.0327962,8.14664,80,67.5046,67.5046,106.392,116.655,0.4
70,0.763277,8.14664,80,67.5046,67.5046,106.392,98.6993,0.4
71,-0.540628,8.14664,80,67.5046,67.5046,106.392,115.823,0.4
72,-0.763151,8.14664,80,67.5046,67.5046,106.392,128.043,0.4
73,0.406022,8.14664,80,67.5046,67.5046,106.392,84.3773,0.4
74,1.76559,8.14664,80,67.5046,67.5046,106.392,90.823,0.4
75,-1.19255,8.14664,80,67.5046,67.5046,106.392,108.023,0.4
76,2.06358,8.14664,80,67.5046,67.5046,106.392,162.394,0.4
